ticker,date,open,high,low,close,daily_return,price_range,price_range_pct,ma_7,ma_30,volatility_7d
AAPL,2023-01-03,130.28,130.9,124.17,125.07,,6.730000000000004,5.165796745471296,125.07,125.07,
AAPL,2023-01-04,126.89,128.656,125.08,126.36,0.010314224034540631,3.5760000000000076,2.818188982583346,125.715,125.715,
AAPL,2023-01-05,127.13,127.77,124.76,125.02,-0.010604621715732843,3.009999999999991,2.367655156139378,125.48333333333333,125.48333333333333,0.014791857684613765
AAPL,2023-01-06,126.01,130.29,124.89,129.62,0.03679411294192936,5.3999999999999915,4.28537417665264,126.5175,126.5175,0.023753675754918616
AAPL,2023-01-09,130.465,133.41,129.89,130.15,0.004088875173584361,3.5200000000000102,2.6980416203579582,127.244,127.244,0.019811000874892327
AAPL,2023-01-10,130.26,131.264,128.12,130.73,0.004456396465616574,3.1440000000000055,2.4136342699216993,127.825,127.825,0.017344625189476548
AAPL,2023-01-11,131.25,133.51,130.46,133.49,0.0211122160177466,3.049999999999983,2.323809523809511,128.6342857142857,128.6342857142857,0.016281284997956055
AAPL,2023-01-12,133.88,134.26,131.44,133.41,-0.0005992958274029236,2.819999999999993,2.106363907977288,129.8257142857143,129.23125,0.015498705349416575
AAPL,2023-01-13,132.03,134.92,131.66,134.76,0.01011918147065427,3.259999999999991,2.4691358024691286,131.0257142857143,129.84555555555553,0.015496891725247137
AAPL,2023-01-17,134.83,137.29,134.13,135.94,0.008756307509646843,3.1599999999999966,2.3436920566639445,132.5857142857143,130.45499999999998,0.012845219429724228
AAPL,2023-01-18,136.815,138.61,135.03,135.21,-0.005370016183610327,3.5800000000000125,2.6166721485217357,133.3842857142857,130.88727272727272,0.00848294028419097
AAPL,2023-01-19,134.08,136.25,133.77,135.27,0.0004437541601953754,2.4799999999999898,1.849642004773262,134.1157142857143,131.2525,0.008733747107781546
AAPL,2023-01-20,135.28,138.02,134.22,137.87,0.019220817624011177,3.8000000000000114,2.808988764044952,135.13571428571427,131.76153846153846,0.010098968681250108
AAPL,2023-01-23,138.12,143.315,137.9,141.11,0.023500398926525,5.414999999999992,3.920503909643782,136.2242857142857,132.42928571428573,0.010653899096218548
AAPL,2023-01-24,140.305,143.16,140.3,142.53,0.010063071362766518,2.859999999999985,2.038416307330448,137.52714285714288,133.10266666666666,0.009957276728448183
AAPL,2023-01-25,140.89,142.43,138.81,141.86,-0.00470076475128034,3.6200000000000045,2.569380367662719,138.54142857142855,133.65,0.011297311100200816
AAPL,2023-01-26,143.17,144.25,141.9,143.96,0.014803327224023555,2.3499999999999943,1.6414053223440626,139.68714285714287,134.2564705882353,0.011642774007040807
AAPL,2023-01-27,143.155,147.23,143.08,145.93,0.01368435676576829,4.149999999999977,2.898955677412579,141.21857142857144,134.905,0.010036093431940932
AAPL,2023-01-30,144.955,145.55,142.85,143.0,-0.020078119646405823,2.700000000000017,1.862647028388132,142.32285714285715,135.33105263157896,0.015268038763874009
AAPL,2023-01-31,142.7,144.34,142.28,144.29,0.00902097902097898,2.0600000000000023,1.4435879467414172,143.24,135.779,0.01449360942235214
AAPL,2023-02-01,143.97,146.61,141.32,145.43,0.00790075542310631,5.2900000000000205,3.674376606237425,143.85714285714286,136.23857142857145,0.01253068403396724
AAPL,2023-02-02,148.9,151.18,148.17,150.82,0.03706250429760005,3.0100000000000193,2.021490933512437,145.04142857142858,136.90136363636364,0.017670876804847555
AAPL,2023-02-03,148.03,157.38,147.83,154.5,0.024399946956637164,9.549999999999983,6.451394987502522,146.84714285714287,137.66652173913045,0.017541154627352288
AAPL,2023-02-06,152.575,153.1,150.78,151.73,-0.017928802588996873,2.319999999999993,1.5205636572177574,147.95714285714286,138.2525,0.020845057059349355
AAPL,2023-02-07,150.64,155.23,150.64,154.65,0.019244710999802406,4.590000000000003,3.046999468932557,149.20285714285714,138.9084,0.021212781901735613
AAPL,2023-02-08,153.88,154.58,151.168,151.92,-0.017652764306498647,3.412000000000006,2.217312191317914,150.47714285714284,139.40884615384616,0.020681013819627597
AAPL,2023-02-09,153.775,154.33,150.42,150.87,-0.006911532385465935,3.910000000000025,2.5426759876443015,151.41714285714286,139.83333333333334,0.02152054121253214
AAPL,2023-02-10,149.46,151.34,149.22,151.01,0.0009279512162787551,2.1200000000000045,1.4184397163120597,152.21428571428572,140.23250000000002,0.021610826460427498
AAPL,2023-02-13,150.952,154.26,150.92,153.85,0.018806701542944282,3.3400000000000034,2.212623880438817,152.64714285714285,140.70206896551724,0.01797582469545262
AAPL,2023-02-14,152.12,153.77,150.86,153.2,-0.00422489437764062,2.9099999999999966,1.9129634499079653,152.46142857142857,141.11866666666668,0.015357071559188919
AAPL,2023-02-15,153.11,155.5,152.88,155.33,0.013903394255874835,2.6200000000000045,1.7111880347462638,152.97571428571428,142.12733333333335,0.014215759581567329
AAPL,2023-02-16,153.51,156.33,153.348,153.71,-0.010429408356402492,2.9819999999999993,1.9425444596443224,152.84142857142857,143.03900000000002,0.013098474523617572
AAPL,2023-02-17,152.35,153.0,150.85,152.55,-0.0075466788107474425,2.1500000000000057,1.4112241549064692,152.93142857142857,143.95666666666665,0.011374501028216284
AAPL,2023-02-21,150.2,151.3,148.405,148.48,-0.02667977712225511,2.8950000000000102,1.9274300932090613,152.59,144.58533333333335,0.015329987944393208
AAPL,2023-02-22,148.87,149.95,147.16,148.91,0.002896012931034475,2.789999999999992,1.874118358299182,152.29,145.21066666666667,0.01541425035275262
AAPL,2023-02-23,150.09,150.34,147.24,149.4,0.003290578201598393,3.0999999999999943,2.0654274102205306,151.6542857142857,145.833,0.012841915804426403
AAPL,2023-02-24,147.11,147.19,145.72,146.71,-0.01800535475234266,1.4699999999999989,0.9992522602134448,150.72714285714284,146.27366666666666,0.01387651478319091
AAPL,2023-02-27,147.71,149.17,147.45,147.92,0.008247563219957676,1.7199999999999989,1.16444384266468,149.66857142857143,146.75733333333332,0.012627358321025298
AAPL,2023-02-28,147.05,149.08,146.83,147.41,-0.0034478096268252267,2.25,1.5300918055083303,148.76857142857145,147.17900000000003,0.012576785698502796
AAPL,2023-03-01,146.83,147.229,145.01,145.31,-0.014245980598331154,2.2190000000000225,1.511271538513943,147.73428571428573,147.49133333333333,0.012972341951882724
AAPL,2023-03-02,144.38,146.71,143.9,145.91,0.004129103296400816,2.8100000000000023,1.9462529436210019,147.36714285714285,147.84799999999998,0.010011379914239915
AAPL,2023-03-03,148.045,151.11,147.33,151.03,0.0350901240490713,3.780000000000001,2.5532777196122813,147.67000000000002,148.37333333333336,0.017482618920953336
AAPL,2023-03-06,153.785,156.3,153.46,153.83,0.01853936304045556,2.8400000000000034,1.8467340767955285,148.30285714285714,148.90533333333335,0.018564788979018768
AAPL,2023-03-07,153.7,154.03,151.13,151.6,-0.014496522134824219,2.9000000000000057,1.8867924528301925,149.00142857142856,149.255,0.01789656558277373
AAPL,2023-03-08,152.81,153.47,151.83,152.87,0.008377308707124165,1.6399999999999864,1.0732281918722508,149.70857142857145,149.59966666666665,0.017900760678785533
AAPL,2023-03-09,153.559,154.535,150.225,150.59,-0.014914633348596884,4.310000000000002,2.806738777929006,150.16285714285715,149.89066666666668,0.019259681628407865
AAPL,2023-03-10,150.21,150.94,147.61,148.5,-0.01387874360847341,3.329999999999984,2.216896345116826,150.61857142857144,150.042,0.019204625017736027
AAPL,2023-03-13,147.805,153.14,147.7,150.47,0.013265993265993314,5.439999999999998,3.6805250160684673,151.26999999999998,150.19333333333333,0.019580076228812665
AAPL,2023-03-14,151.28,153.4,150.1,152.59,0.014089187213398136,3.3000000000000114,2.181385510312012,151.49285714285716,150.513,0.015255408771818536
AAPL,2023-03-15,151.19,153.245,149.92,152.99,0.0026214037617144914,3.325000000000017,2.1992195251008777,151.37285714285713,150.803,0.013374585381704584
AAPL,2023-03-16,152.16,156.46,151.64,155.85,0.01869403228969202,4.820000000000022,3.167718191377512,151.98000000000002,151.15033333333335,0.013552551083308433
AAPL,2023-03-17,156.08,156.74,154.28,155.0,-0.005453962143086244,2.460000000000008,1.5761148129164582,152.28428571428572,151.28966666666668,0.013819811776213579
AAPL,2023-03-20,155.07,157.82,154.15,157.4,0.015483870967742064,3.6699999999999875,2.3666731153672456,153.25714285714284,151.38633333333334,0.012287846216296083
AAPL,2023-03-21,157.32,159.4,156.54,159.28,0.011944091486658204,2.8600000000000136,1.8179506737859226,154.79714285714286,151.63799999999998,0.008465970714646978
AAPL,2023-03-22,159.3,162.14,157.81,157.83,-0.009103465595178273,4.329999999999984,2.7181418706842333,155.84857142857143,151.744,0.01093120075330625
AAPL,2023-03-23,158.83,161.55,157.68,158.93,0.006969524171577035,3.8700000000000045,2.4365673991059653,156.75428571428571,151.97766666666666,0.010471989744177282
AAPL,2023-03-24,158.86,160.34,157.85,160.25,0.008305543320958897,2.490000000000009,1.5674178521969087,157.79142857142855,152.29033333333334,0.010397370724708203
AAPL,2023-03-27,159.94,160.77,157.87,158.28,-0.012293291731669265,2.9000000000000057,1.813179942478433,158.13857142857142,152.53266666666664,0.011013721113747365
AAPL,2023-03-28,157.97,158.49,155.98,157.65,-0.003980288097043205,2.5100000000000193,1.5889092865734125,158.5171428571429,152.65933333333336,0.010854526328313543
AAPL,2023-03-29,159.37,161.05,159.35,160.77,0.019790675547098013,1.700000000000017,1.0667001317688505,158.99857142857144,152.91166666666666,0.011796011614810984
AAPL,2023-03-30,161.53,162.47,161.271,162.36,0.009889904832991236,1.1990000000000123,0.7422769764130578,159.43857142857146,153.14600000000002,0.011562280159407985
AAPL,2023-03-31,162.44,165.0,161.91,164.9,0.015644247351564333,3.0900000000000034,1.9022408273824203,160.44857142857146,153.51899999999998,0.011090977357359618
AAPL,2023-04-03,164.27,166.29,164.22,166.17,0.00770163735597329,2.069999999999993,1.2601205332683953,161.48285714285717,153.973,0.01110143449877658
AAPL,2023-04-04,166.595,166.84,165.11,165.63,-0.00324968405849424,1.7299999999999898,1.0384465320087577,162.25142857142856,154.54466666666667,0.01162407588222862
AAPL,2023-04-05,164.74,165.05,161.8,163.76,-0.011290225200748738,3.25,1.972805633118854,163.03428571428572,155.03966666666668,0.011382102708888352
AAPL,2023-04-06,162.43,164.958,162.0,164.66,0.005495847581827196,2.9579999999999984,1.821092162777811,164.03571428571428,155.54833333333335,0.010688174641850918
AAPL,2023-04-10,161.42,162.03,160.08,162.03,-0.015972306571116257,1.9499999999999886,1.2080287448891023,164.21571428571428,156.05900000000003,0.011658796326460538
AAPL,2023-04-11,162.35,162.36,160.51,160.8,-0.007591186817256013,1.8500000000000227,1.1395133969818434,163.99285714285716,156.48833333333334,0.011348849303125104
AAPL,2023-04-12,161.22,162.06,159.78,160.1,-0.0043532338308458485,2.280000000000001,1.4142165984369193,163.30714285714288,156.91133333333332,0.008533666879568993
AAPL,2023-04-13,161.63,165.8,161.42,165.56,0.034103685196752,4.380000000000024,2.709892965414851,163.22,157.58633333333333,0.0166424182272018
AAPL,2023-04-14,164.59,166.32,163.82,165.21,-0.0021140372070548308,2.5,1.518925815663163,163.16000000000003,158.22966666666667,0.016615615233412817
AAPL,2023-04-17,165.09,165.39,164.03,165.23,0.00012105804733364423,1.3599999999999852,0.8237930825610184,163.37000000000003,158.703,0.01589563663576142
AAPL,2023-04-18,166.1,167.41,165.65,166.47,0.007504690431519689,1.759999999999991,1.059602649006617,163.62857142857143,159.1243333333333,0.016000029187935062
AAPL,2023-04-19,165.8,168.16,165.54,167.63,0.006968222502552912,2.6200000000000045,1.5802171290711726,164.42857142857142,159.65866666666668,0.014009448226676536
AAPL,2023-04-20,166.09,167.87,165.56,166.65,-0.005846208912485773,2.3100000000000023,1.3908122102474576,165.26428571428573,160.118,0.01376247912851095
AAPL,2023-04-21,165.05,166.452,164.49,165.02,-0.009780978097809756,1.961999999999989,1.1887306876703962,165.96714285714285,160.59900000000002,0.01452220856580698
AAPL,2023-04-24,165.0,165.6,163.89,165.33,0.0018785601745243685,1.710000000000008,1.0363636363636413,165.93428571428572,161.16,0.006357476581573194
AAPL,2023-04-25,165.19,166.305,163.73,163.77,-0.009435674106332836,2.575000000000017,1.5588110660451704,165.72857142857143,161.60333333333335,0.007265854122321154
AAPL,2023-04-26,163.055,165.28,162.8,163.76,-6.106124442828431e-05,2.4799999999999898,1.5209591855508815,165.51857142857145,161.97566666666665,0.007260545916520104
AAPL,2023-04-27,165.19,168.56,165.19,168.41,0.028395212506106438,3.3700000000000045,2.0400750650765813,165.79571428571427,162.48966666666666,0.01326823481528639
AAPL,2023-04-28,168.49,169.85,167.88,169.68,0.007541119885992487,1.9699999999999989,1.1692088551249324,166.08857142857144,162.95066666666665,0.013307631026848264
AAPL,2023-05-01,169.28,170.45,168.64,169.59,-0.0005304101838755626,1.8100000000000023,1.0692344045368634,166.50857142857143,163.43699999999998,0.012944429819217987
AAPL,2023-05-02,170.09,170.35,167.54,168.54,-0.0061914027949762085,2.8100000000000023,1.6520665530013536,167.01142857142858,163.80833333333334,0.012434543145206164
AAPL,2023-05-03,169.5,170.92,167.16,167.45,-0.006467307464103511,3.759999999999991,2.2182890855457176,167.31428571428572,164.08066666666667,0.012958594089417925
AAPL,2023-05-04,164.89,167.04,164.31,165.79,-0.009913406987160367,2.7299999999999898,1.6556492206925768,167.60285714285715,164.346,0.01302926627533966
AAPL,2023-05-05,170.975,174.3,170.76,173.57,0.04692683515290419,3.5400000000000205,2.0704781400789707,169.00428571428571,164.834,0.021345609855522037
AAPL,2023-05-08,172.48,173.85,172.11,173.5,-0.0004032955003744343,1.7399999999999807,1.0088126159554618,169.73142857142855,165.2756666666667,0.019582836802969614
AAPL,2023-05-09,173.05,173.54,171.6,171.77,-0.009971181556195918,1.9399999999999977,1.121063276509678,170.03,165.72533333333334,0.020226174915407426
AAPL,2023-05-10,173.02,174.03,171.9,173.555,0.010391802992373522,2.1299999999999955,1.2310715524216826,170.59642857142856,166.2555,0.020425813171979914
AAPL,2023-05-11,173.85,174.59,172.17,173.75,0.0011235631356054654,2.420000000000016,1.392004601668114,171.34071428571428,166.6881666666667,0.020031768726135872
AAPL,2023-05-12,173.62,174.06,171.0,172.57,-0.0067913669064748605,3.0600000000000023,1.7624697615482101,172.07214285714284,167.02849999999998,0.020061762951163933
AAPL,2023-05-15,173.16,173.21,171.47,172.07,-0.0028973749782696956,1.740000000000009,1.00485100485101,172.96928571428572,167.26749999999998,0.01938669422659469
AAPL,2023-05-16,171.99,173.138,171.799,172.07,0.0,1.3389999999999986,0.778533635676492,172.75500000000002,167.46416666666667,0.006492541220357415
AAPL,2023-05-17,171.71,172.925,170.42,172.69,0.003603184750392341,2.505000000000024,1.4588550462990064,172.63928571428573,167.6995,0.006748216020828073
AAPL,2023-05-18,173.0,175.24,172.58,175.05,0.013666106896751407,2.6599999999999966,1.5375722543352581,173.10785714285717,168.07583333333332,0.007204412984819838
AAPL,2023-05-19,176.39,176.39,174.94,175.16,0.0006283918880318762,1.4499999999999886,0.8220420658767441,173.33714285714288,168.42583333333332,0.006370215847776048
AAPL,2023-05-22,173.98,174.71,173.45,174.2,-0.005480703356930849,1.2600000000000193,0.7242211748476948,173.40142857142857,168.83149999999998,0.006875469967225
AAPL,2023-05-23,173.13,173.379,171.275,171.56,-0.015154994259471755,2.103999999999985,1.2152717611043637,173.2571428571429,169.19016666666667,0.008791190998877105
AAPL,2023-05-24,171.09,172.418,170.52,171.84,0.0016320820704127659,1.8979999999999961,1.1093576480215068,173.2242857142857,169.58150000000003,0.008778204259068997
AAPL,2023-05-25,172.41,173.895,171.69,172.99,0.006692271880819334,2.2050000000000125,1.2789281364190086,173.3557142857143,169.82916666666668,0.009154637067969757
AAPL,2023-05-26,173.32,175.77,173.11,175.43,0.014104861552690862,2.6599999999999966,1.5347334410339237,173.74714285714285,170.16983333333334,0.010458582850102264
AAPL,2023-05-30,176.96,178.99,176.57,177.3,0.010659522316593506,2.420000000000016,1.3675406871609492,174.06857142857143,170.57216666666667,0.009963962568463991
AAPL,2023-05-31,177.325,179.35,176.76,177.25,-0.0002820078962211259,2.5900000000000034,1.460594952770339,174.36714285714288,170.9315,0.009988762144486511
AAPL,2023-06-01,177.7,180.12,176.931,180.09,0.01602256699576876,3.188999999999993,1.79459763646595,175.20857142857145,171.34683333333334,0.010681016404524714
AAPL,2023-06-02,181.03,181.78,179.26,180.95,0.004775390082736308,2.5200000000000102,1.3920344694249627,176.55,171.8235,0.006179733326210444
AAPL,2023-06-05,182.63,184.951,178.035,179.58,-0.0075711522520032215,6.915999999999997,3.7868915293215775,177.65571428571428,172.30883333333335,0.008293035542805853
AAPL,2023-06-06,179.965,180.12,177.43,179.21,-0.0020603630693841746,2.6899999999999977,1.4947350873781,178.5442857142857,172.7715,0.00887128508906689
AAPL,2023-06-07,178.44,181.21,177.32,177.82,-0.007756263601361613,3.890000000000015,2.180004483299717,178.88571428571427,173.23983333333334,0.009016667954328051
AAPL,2023-06-08,177.895,180.84,177.46,180.57,0.01546507704420197,3.3799999999999955,1.8999971893532677,179.35285714285715,173.80016666666668,0.009925684103775334
AAPL,2023-06-09,181.5,182.23,180.63,180.96,0.002159827213823018,1.5999999999999943,0.8815426997245147,179.88285714285715,174.2185,0.009847815851747516
AAPL,2023-06-12,181.27,183.89,180.97,183.79,0.015638815207780654,2.9199999999999875,1.610856733050139,180.4114285714286,174.68883333333332,0.009763982022647225
AAPL,2023-06-13,182.8,184.15,182.44,183.31,-0.0026116763697697776,1.710000000000008,0.9354485776805295,180.74857142857144,175.1461666666667,0.009931595518852926
AAPL,2023-06-14,183.37,184.39,182.02,183.95,0.003491353444983858,2.369999999999976,1.2924687789714653,181.37285714285716,175.65983333333332,0.009011838972555256
AAPL,2023-06-15,183.96,186.52,183.78,186.01,0.011198695297635286,2.740000000000009,1.4894542291802615,182.34428571428572,176.2785,0.009047774207747876
AAPL,2023-06-16,186.73,186.99,184.27,184.92,-0.005859900005376062,2.719999999999999,1.456648637069565,183.35857142857142,176.9161666666667,0.008606912773023346
AAPL,2023-06-20,184.41,186.1,184.41,185.01,0.0004866969500325613,1.6899999999999977,0.9164362019413251,183.9928571428571,177.29749999999999,0.007554879120464307
AAPL,2023-06-21,184.9,185.41,182.59,183.96,-0.00567536889897835,2.819999999999993,1.525148729042722,184.42142857142855,177.64616666666663,0.008327534778861652
