ticker,date,open,high,low,close
AAPL,2023-01-03,130.28,130.9,124.17,125.07
AAPL,2023-01-04,126.89,128.656,125.08,126.36
AAPL,2023-01-05,127.13,127.77,124.76,125.02
AAPL,2023-01-06,126.01,130.29,124.89,129.62
AAPL,2023-01-09,130.465,133.41,129.89,130.15
AAPL,2023-01-10,130.26,131.264,128.12,130.73
AAPL,2023-01-11,131.25,133.51,130.46,133.49
AAPL,2023-01-12,133.88,134.26,131.44,133.41
AAPL,2023-01-13,132.03,134.92,131.66,134.76
AAPL,2023-01-17,134.83,137.29,134.13,135.94
AAPL,2023-01-18,136.815,138.61,135.03,135.21
AAPL,2023-01-19,134.08,136.25,133.77,135.27
AAPL,2023-01-20,135.28,138.02,134.22,137.87
AAPL,2023-01-23,138.12,143.315,137.9,141.11
AAPL,2023-01-24,140.305,143.16,140.3,142.53
AAPL,2023-01-25,140.89,142.43,138.81,141.86
AAPL,2023-01-26,143.17,144.25,141.9,143.96
AAPL,2023-01-27,143.155,147.23,143.08,145.93
AAPL,2023-01-30,144.955,145.55,142.85,143.0
AAPL,2023-01-31,142.7,144.34,142.28,144.29
AAPL,2023-02-01,143.97,146.61,141.32,145.43
AAPL,2023-02-02,148.9,151.18,148.17,150.82
AAPL,2023-02-03,148.03,157.38,147.83,154.5
AAPL,2023-02-06,152.575,153.1,150.78,151.73
AAPL,2023-02-07,150.64,155.23,150.64,154.65
AAPL,2023-02-08,153.88,154.58,151.168,151.92
AAPL,2023-02-09,153.775,154.33,150.42,150.87
AAPL,2023-02-10,149.46,151.34,149.22,151.01
AAPL,2023-02-13,150.952,154.26,150.92,153.85
AAPL,2023-02-14,152.12,153.77,150.86,153.2
AAPL,2023-02-15,153.11,155.5,152.88,155.33
AAPL,2023-02-16,153.51,156.33,153.348,153.71
AAPL,2023-02-17,152.35,153.0,150.85,152.55
AAPL,2023-02-21,150.2,151.3,148.405,148.48
AAPL,2023-02-22,148.87,149.95,147.16,148.91
AAPL,2023-02-23,150.09,150.34,147.24,149.4
AAPL,2023-02-24,147.11,147.19,145.72,146.71
AAPL,2023-02-27,147.71,149.17,147.45,147.92
AAPL,2023-02-28,147.05,149.08,146.83,147.41
AAPL,2023-03-01,146.83,147.229,145.01,145.31
AAPL,2023-03-02,144.38,146.71,143.9,145.91
AAPL,2023-03-03,148.045,151.11,147.33,151.03
AAPL,2023-03-06,153.785,156.3,153.46,153.83
AAPL,2023-03-07,153.7,154.03,151.13,151.6
AAPL,2023-03-08,152.81,153.47,151.83,152.87
AAPL,2023-03-09,153.559,154.535,150.225,150.59
AAPL,2023-03-10,150.21,150.94,147.61,148.5
AAPL,2023-03-13,147.805,153.14,147.7,150.47
AAPL,2023-03-14,151.28,153.4,150.1,152.59
AAPL,2023-03-15,151.19,153.245,149.92,152.99
AAPL,2023-03-16,152.16,156.46,151.64,155.85
AAPL,2023-03-17,156.08,156.74,154.28,155.0
AAPL,2023-03-20,155.07,157.82,154.15,157.4
AAPL,2023-03-21,157.32,159.4,156.54,159.28
AAPL,2023-03-22,159.3,162.14,157.81,157.83
AAPL,2023-03-23,158.83,161.55,157.68,158.93
AAPL,2023-03-24,158.86,160.34,157.85,160.25
AAPL,2023-03-27,159.94,160.77,157.87,158.28
AAPL,2023-03-28,157.97,158.49,155.98,157.65
AAPL,2023-03-29,159.37,161.05,159.35,160.77
AAPL,2023-03-30,161.53,162.47,161.271,162.36
AAPL,2023-03-31,162.44,165.0,161.91,164.9
AAPL,2023-04-03,164.27,166.29,164.22,166.17
AAPL,2023-04-04,166.595,166.84,165.11,165.63
AAPL,2023-04-05,164.74,165.05,161.8,163.76
AAPL,2023-04-06,162.43,164.958,162.0,164.66
AAPL,2023-04-10,161.42,162.03,160.08,162.03
AAPL,2023-04-11,162.35,162.36,160.51,160.8
AAPL,2023-04-12,161.22,162.06,159.78,160.1
AAPL,2023-04-13,161.63,165.8,161.42,165.56
AAPL,2023-04-14,164.59,166.32,163.82,165.21
AAPL,2023-04-17,165.09,165.39,164.03,165.23
AAPL,2023-04-18,166.1,167.41,165.65,166.47
AAPL,2023-04-19,165.8,168.16,165.54,167.63
AAPL,2023-04-20,166.09,167.87,165.56,166.65
AAPL,2023-04-21,165.05,166.452,164.49,165.02
AAPL,2023-04-24,165.0,165.6,163.89,165.33
AAPL,2023-04-25,165.19,166.305,163.73,163.77
AAPL,2023-04-26,163.055,165.28,162.8,163.76
AAPL,2023-04-27,165.19,168.56,165.19,168.41
AAPL,2023-04-28,168.49,169.85,167.88,169.68
AAPL,2023-05-01,169.28,170.45,168.64,169.59
AAPL,2023-05-02,170.09,170.35,167.54,168.54
AAPL,2023-05-03,169.5,170.92,167.16,167.45
AAPL,2023-05-04,164.89,167.04,164.31,165.79
AAPL,2023-05-05,170.975,174.3,170.76,173.57
AAPL,2023-05-08,172.48,173.85,172.11,173.5
AAPL,2023-05-09,173.05,173.54,171.6,171.77
AAPL,2023-05-10,173.02,174.03,171.9,173.555
AAPL,2023-05-11,173.85,174.59,172.17,173.75
AAPL,2023-05-12,173.62,174.06,171.0,172.57
AAPL,2023-05-15,173.16,173.21,171.47,172.07
AAPL,2023-05-16,171.99,173.138,171.799,172.07
AAPL,2023-05-17,171.71,172.925,170.42,172.69
AAPL,2023-05-18,173.0,175.24,172.58,175.05
AAPL,2023-05-19,176.39,176.39,174.94,175.16
AAPL,2023-05-22,173.98,174.71,173.45,174.2
AAPL,2023-05-23,173.13,173.379,171.275,171.56
AAPL,2023-05-24,171.09,172.418,170.52,171.84
AAPL,2023-05-25,172.41,173.895,171.69,172.99
AAPL,2023-05-26,173.32,175.77,173.11,175.43
AAPL,2023-05-30,176.96,178.99,176.57,177.3
AAPL,2023-05-31,177.325,179.35,176.76,177.25
AAPL,2023-06-01,177.7,180.12,176.931,180.09
AAPL,2023-06-02,181.03,181.78,179.26,180.95
AAPL,2023-06-05,182.63,184.951,178.035,179.58
AAPL,2023-06-06,179.965,180.12,177.43,179.21
AAPL,2023-06-07,178.44,181.21,177.32,177.82
AAPL,2023-06-08,177.895,180.84,177.46,180.57
AAPL,2023-06-09,181.5,182.23,180.63,180.96
AAPL,2023-06-12,181.27,183.89,180.97,183.79
AAPL,2023-06-13,182.8,184.15,182.44,183.31
AAPL,2023-06-14,183.37,184.39,182.02,183.95
AAPL,2023-06-15,183.96,186.52,183.78,186.01
AAPL,2023-06-16,186.73,186.99,184.27,184.92
AAPL,2023-06-20,184.41,186.1,184.41,185.01
AAPL,2023-06-21,184.9,185.41,182.59,183.96
AAPL,2023-06-22,183.74,187.045,183.67,187.0
AAPL,2023-06-23,185.55,187.56,185.01,186.68
AAPL,2023-06-26,187.322,188.05,185.23,185.27
AAPL,2023-06-27,185.89,188.39,185.67,188.06
AAPL,2023-06-28,187.93,189.9,187.6,189.25
AAPL,2023-06-29,189.08,190.07,188.94,189.59
AAPL,2023-06-30,191.63,194.48,191.26,193.97
AAPL,2023-07-03,193.78,193.88,191.76,192.46
